,,,,,,
X Factor เฉลี่ย 5 ปีย้อนหลัง : Cluster 1,,,,,,
Product,พื้นที่,Price_Baht/Kg,Output:MT,Value:MB,Yield:MT,Area/Farm (ไร่)
ข้าวหอมมะลิ,ภาคเหนือ,10.71,393747.83,3542.27,549.52,9
ข้าวหอมมะลิ,พะเยา,11.11,200721.8,1765.69,543.32,9.43
ข้าวหอมมะลิ,เชียงราย,10.25,185130.19,1706.39,549.8,9.1
ข้าวเหนียว,ภาคเหนือ,8.15,1502032.96,12214.2,625.66,6.24
ข้าวเหนียว,เชียงราย,7.91,444469.12,3512.03,656.4,7.83
ข้าวเหนียว,เชียงใหม่,7.53,214560.55,1612.63,687.83,6.7
ข้าวเหนียว,ลำปาง,8.26,188590.48,1562.64,578.03,4.87
ข้าวเหนียว,แพร่,7.51,158211.6,1187.38,618.13,5.79
ข้าวเหนียว,พะเยา,8.33,130477.34,1075.43,571.32,6.75
ข้าวเหนียว,พิษณุโลก,12.56,71647.62,875.16,570.8,7.66
ข้าวเหนียว,เพชรบูรณ์,8.15,97581.19,787.14,614.84,7.7
ข้าวโพดเลี้ยงสัตว์,ภาคเหนือ,5.92,3399215.41,20029.93,848.81,11.65
ข้าวโพดเลี้ยงสัตว์,เพชรบูรณ์,5.84,615746.44,3580.49,834.07,19.59
ข้าวโพดเลี้ยงสัตว์,ตาก,5.9,438403.22,2562.93,796.96,17.99
ข้าวโพดเลี้ยงสัตว์,น่าน,6.15,336483.9,2044.71,714.12,15.06
ข้าวโพดเลี้ยงสัตว์,นครสวรรค์,6.63,302179.42,2016.87,1041.39,21.76
ข้าวโพดเลี้ยงสัตว์,เชียงราย,5.16,285392.83,1423.51,893.42,10.35
ข้าวโพดเลี้ยงสัตว์,แพร่,6.06,217350.98,1314.67,838.37,7.94
ข้าวโพดเลี้ยงสัตว์,พิษณุโลก,6.25,198753.08,1248.26,854.8,8.52
ข้าวโพดเลี้ยงสัตว์,เชียงใหม่,5.7,174319.01,991.62,839.39,12.44
ข้าวโพดเลี้ยงสัตว์,ลำปาง,5.76,163518.19,943.19,914.04,8.65
ข้าวโพดเลี้ยงสัตว์,พะเยา,5.15,164685.4,827.65,875.6,8.03
ข้าวโพดเลี้ยงสัตว์,อุตรดิตถ์,5.36,141289.22,755.21,869.68,12.55
